Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna_Chip,C89334
"C1, C11, C12, C8",0603,4,10uF,C96446
"C10, C13, C3, C5, C7",0402,5,1uF,C52923
"C14, C15",0201,2,1.2pF,C85895
C2,0603,1,4.7uF,C23733
"C4, C9",0402,2,0.1uF,C1525
C6,0402,1,10nF,C15195
D1,0603,1,RED,C19171390
D2,0603,1,BLUE,C965807
D3,0603,1,GREEN,C19273151
J1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,USB_C_Receptacle_USB2.0_16P,C2765186
L1,0402,1,2.0nH,C18216
L2,0402,1,24nH,C167472
L3,0201,1,3.0nH,C98044
"R1, R2",0603,2,5.1k,C2907044
"R10, R11, R12, R7, R8, R9",0603,6,22,C2907129
R13,0603,1,499,C23065
"R3, R4, R5, R6",0603,4,10k,C2930027
SW1,SW-SMD_L3.9-W3.0-P4.45,1,RESET,C720477
SW2,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,C720477
U1,SOT-23-5,1,XC6220B331MR,C86534
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,C2838500
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C5444549
