Designator,Mid X,Mid Y,Rotation,Layer
AE1,185.0,-89.0,270.0,top
C1,180.1625,-100.075,0.0,top
C10,167.0,-99.0,0.0,top
C11,174.0,-106.0,0.0,top
C12,173.0,-100.0,0.0,top
C13,167.18,-87.0,180.0,top
C14,174.970281,-91.530205,315.0,top
C15,177.036233,-90.47924,135.0,top
C2,183.4325,-104.455,270.0,top
C3,163.0,-87.32,90.0,top
C4,163.0,-89.68,90.0,top
C5,157.005812,-89.740924,270.0,top
C6,160.0,-88.0,90.0,top
C7,158.0,-88.0,90.0,top
C8,163.0,-84.775,90.0,top
C9,165.0,-98.0,180.0,top
D1,177.1625,-103.9375,90.0,top
D2,175.0,-79.5,270.0,top
D3,178.0,-79.5,270.0,top
H1,142.0,-79.0,0.0,top
H2,184.0,-79.0,0.0,top
H3,142.0,-110.0,0.0,top
H4,184.0,-110.0,0.0,top
J1,151.75,-108.53,0.0,top
J2,172.65,-110.0,270.0,top
J3,162.27,-79.0,90.0,top
J4,160.27,-110.0,90.0,top
L1,165.0,-99.0,0.0,top
L2,163.0,-100.0,135.0,top
L3,176.0,-91.0,45.0,top
R1,155.0,-103.0,225.0,top
R10,156.0,-96.0,0.0,top
R11,155.258646,-97.515444,0.0,top
R12,155.0,-100.0,45.0,top
R13,161.0,-100.0,90.0,top
R2,150.0,-104.0,270.0,top
R3,177.1625,-100.47,90.0,top
R4,155.82,-87.0,270.0,top
R5,175.0,-83.0,270.0,top
R6,178.0,-83.0,270.0,top
R7,155.512003,-91.441755,0.0,top
R8,156.0,-93.0,0.0,top
R9,155.991353,-94.513606,0.0,top
SW1,171.0,-87.0,180.0,top
SW2,151.82,-87.0,180.0,top
U1,180.1625,-103.9375,270.0,top
U2,161.75,-94.55,270.0,top
U3,146.0,-95.0,270.0,top
Y1,173.0,-103.0,0.0,top
